KIT DE CALIPER IMPORTADOS BBP;;;;;;;;;;;
Referencia ;Descripción;Cantidad ;Diametro;;;Costos ;PRECIO $ CARACAS ;PRECIO $ ORIENTE ;C ATEGORIA;EQUIVALENCIA;MARCA 
CK-99079;Kit de Caliper, Ford Fairmont, Granada, Cougar, LTD, Zephyr, Mustang.;1 Rueda;"2 3/8""mm";;;1,80;4,00;4,50;KIT DE CALIPER IMPORTADO;;
KIT DE CALIPER NACIONALES (GG);;;;;;;;;;;
Referencia ;Descripción;Cantidad ;Diametro;;;Costos ;;;;;MARCA
FORD ;;;;;;;PRECIO $ CARACAS ;PRECIO $ ORIENTE ;CATEGORIA ;;
550;Kit de Caliper, Ford Fiesta;2 Ruedas;48.mm;;;3,60;8,00;9,00;;;FORD
5400;Kit de Caliper, Ford Escort/Orion;2 Ruedas;48.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;FORD
15138;Kit de Caliper, Ford Festiva;1 Rueda;48.mm;;;4,70;10,44;11,75;KIT DE CALIPER NACIONAL ;;FORD
15142;Kit de Caliper, Ford Fiesta Ecosport Delantero.;1 Rueda;48.mm;;;5,20;11,56;13,00;KIT DE CALIPER NACIONAL ;;FORD
15214;Kit de Caliper, Ford F-250/350 98/01, Delantero.;2 Ruedas;57.mm;;;5,40;12,00;13,50;KIT DE CALIPER NACIONAL ;;FORD
15215;Kit de Caliper, Ford F-350 Super Duty 01/03 Trasero, F-250/350 (99/01);1 Rueda;46.mm;;;5,40;12,00;13,50;KIT DE CALIPER NACIONAL ;;FORD
15216;Kit de Caliper, Ford F-350 05/06 Trasera;1 Rueda;48.mm;;;3,70;8,22;9,25;KIT DE CALIPER NACIONAL ;;FORD
33101;Kit de Caliper, Ford F-450;2 Ruedas;60.mm;;;5,40;12,00;13,50;KIT DE CALIPER NACIONAL ;;FORD
